Date,City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI
2023-02-23 06:41:33,Dhaka,79.44,97.78,3.1,8.74,447.27,0,52.93,3.71,5
2023-02-23 06:41:33,Faridpur,91.44,110.78,7.51,9,540.73,0,49.35,4.37,5
2023-02-23 06:41:33,Gazipur,77.78,95.25,2.44,6.34,423.91,0,51.5,4.18,5
2023-02-23 06:41:33,Gopalganj,147.56,164.69,15.97,10.45,727.65,0,95.84,27.87,5
2023-02-23 06:41:33,Jamalpur,212.2,235.52,17.88,16.28,1054.76,0,73.67,23.31,5
2023-02-23 06:41:33,Kishoreganj,83.61,100.36,3.16,9.25,494,0,42.92,5.57,5
2023-02-23 06:41:33,Madaripur,73.66,90.06,1.91,4.54,373.84,0,53.64,3.71,4
2023-02-23 06:41:34,Manikganj,83.28,102.05,4.71,7.03,480.65,0,49.35,4.88,5
2023-02-23 06:41:34,Munshiganj,74.74,91.38,1.61,4.58,387.19,0,53.64,4.5,4
2023-02-23 06:41:34,Mymensingh,114.03,133.31,2.5,11.48,720.98,0,32.9,10.13,5
2023-02-23 06:41:34,Narayanganj,80.41,98.04,3.64,9.17,480.65,0,52.21,4.12,5
2023-02-23 06:41:34,Narsingdi,80.4,97.22,3.25,9.25,453.95,0,52.21,3.99,5
2023-02-23 06:41:34,Netrokona,94.86,103.31,2.62,4.84,580.79,0,61.51,4.62,5
2023-02-23 06:41:34,Rajbari,117.47,143.1,11.09,19.71,834.47,0,28.97,4.94,5
2023-02-23 06:41:34,Shariatpur,72.55,87.9,1.21,3.6,363.83,0,54.36,4.94,4
2023-02-23 06:41:35,Sherpur,135.54,145.06,0.51,9.85,841.14,0.13,9.84,4.43,5
2023-02-23 06:41:35,Tangail,123.4,144.56,10.97,19.36,814.44,0,31.47,6.46,5
2023-02-23 06:41:35,Bogra,119.47,141.67,3.46,19.54,961.3,0.01,22.17,24.83,5
2023-02-23 06:41:35,Joypurhat,125.8,147,5.66,12.68,754.36,0,47.21,30.15,5
2023-02-23 06:41:35,Naogaon,120.21,143.04,4.05,14.05,794.41,0,38.62,31.16,5
2023-02-23 06:41:36,Natore,140.73,164.24,4.59,22.62,1214.98,0.02,16.27,15.45,5
2023-02-23 06:41:36,Nawabganj,144.26,158.71,26.46,14.74,781.06,0,69.38,21.28,5
2023-02-23 06:41:37,Pabna,104.86,129.24,4.77,17.99,767.71,0.01,21.1,6.14,5
2023-02-23 06:41:37,Rajshahi,137.18,163.48,5.25,29.82,1388.55,0.14,8.85,23.56,5
2023-02-23 06:41:37,Sirajgonj,119.73,143.03,5.78,20.05,847.82,0.01,21.46,6.33,5
2023-02-23 06:41:37,Dinajpur,171.67,194.54,6.74,9.85,947.95,0,65.8,28.37,5
2023-02-23 06:41:37,Gaibandha,150.32,171.67,4.05,13.54,921.25,0,42.56,27.87,5
2023-02-23 06:41:37,Kurigram,259.05,283.64,4.17,10.97,1121.52,0,47.92,9.88,5
2023-02-23 06:41:37,Lalmonirhat,273.04,305.16,0.79,13.54,1522.06,0.18,6.08,11.91,5
2023-02-23 06:41:38,Nilphamari,260.32,296.41,1.37,15.94,1255.04,0.03,16.27,16.72,5
2023-02-23 06:41:38,Panchagarh,207.12,227.95,1.77,26.05,1708.98,2.91,1.08,17.99,5
2023-02-23 06:41:38,Rangpur,217.73,244.66,2.33,15.59,1148.22,0,34.69,16.47,5
2023-02-23 06:41:38,Thakurgaon,245.98,278.89,2.86,21.76,1335.14,0.09,10.73,81.06,5
2023-02-23 06:41:38,Barguna,74.64,94.14,0.79,0.91,337.12,0,77.25,1.68,4
2023-02-23 06:41:38,Barisal,72.77,87.8,1.36,3.9,353.81,0,54.36,4.94,4
2023-02-23 06:41:38,Bhola,77.18,96.53,0.62,1.13,360.49,0,94.41,2.66,5
2023-02-23 06:41:38,Jhalokati,74.61,90.47,1,2.23,343.8,0,63.66,3.52,4
2023-02-23 06:41:39,Patuakhali,79.02,97.77,0.92,3.34,367.17,0,68.67,5.38,5
2023-02-23 06:41:39,Pirojpur,73.46,91.56,1.68,2.79,337.12,0,64.37,2.19,4
2023-02-23 06:41:39,Bandarban,83.89,90.44,0.26,1.93,353.81,0,28.61,2.85,5
2023-02-23 06:41:39,Brahmanbaria,77.79,92.27,1.76,5.1,413.9,0,57.22,4.24,5
2023-02-23 06:41:39,Chandpur,74.65,90.62,1.01,4.41,400.54,0,49.35,5,4
2023-02-23 06:41:39,Chittagong,104.2,114.79,4.35,9.43,500.68,0,70.81,4.18,5
2023-02-23 06:41:39,Comilla,75.96,91.8,1.19,4.41,407.22,0,57.22,4.94,5
2023-02-23 06:41:40,CoxBazar,92.62,96.34,0.47,3.3,423.91,0,38.62,4.05,5
2023-02-23 06:41:40,Feni,71.75,88.31,0.81,4.67,387.19,0,53.64,5.57,4
2023-02-23 06:41:40,Khagrachari,62.22,69.45,1.49,1.84,367.17,0,57.94,0.59,4
2023-02-23 06:41:40,Lakshmipur,72.43,90.74,0.79,2.53,353.81,0,64.37,4.02,4
2023-02-23 06:41:40,Noakhali,73.4,89.44,0.66,2.57,367.17,0,65.09,4.56,4
2023-02-23 06:41:40,Rangamati,95.71,103.54,0.66,0.42,367.17,0,74.39,0,5
2023-02-23 06:41:40,Habiganj,76.05,87.9,1.3,5.74,433.92,0,47.21,3.58,5
2023-02-23 06:41:40,Maulvibazar,69.23,81.21,1.4,2.55,360.49,0,64.37,1.68,4
2023-02-23 06:41:41,Sunamganj,94.77,99.28,3.93,2.59,487.33,0,81.54,2.09,5
2023-02-23 06:41:41,Sylhet,85.44,89.89,2.09,3.77,520.71,0,62.94,3.39,5
2023-02-23 06:41:41,Bagerhat,76.4,95.45,2.47,4.24,370.5,0,70.1,2.91,5
2023-02-23 06:41:41,Chuadanga,99.21,126.92,4.05,15.08,754.36,0.01,22.71,7.35,5
2023-02-23 06:41:41,Jessore,100.92,120.95,11.56,11.31,594.14,0,55.79,4.18,5
2023-02-23 06:41:41,Jhenaidah,114.75,144.69,12.04,21.94,854.49,0,26.11,5.89,5
2023-02-23 06:41:41,Khulna,83.83,102.66,4.17,5.48,423.91,0,65.09,3.52,5
2023-02-23 06:41:41,Kushtia,99.51,125.39,4.05,15.25,734.33,0.01,21.46,6.71,5
